Stability,PatternID,TotalArea,RecommendedX,RecommendedY,Ave.Membership
3,1,3102,431103.875000,3488299.000000,0.987639
3,1,3102,429103.875000,3469299.000000,0.986404
3,1,3102,697103.875000,3415299.000000,0.986380
3,2,996,437103.875000,3472299.000000,0.996329
3,2,996,466103.875000,3458299.000000,0.993498
3,2,996,623103.875000,3619299.000000,0.993234
3,5,768,616103.875000,3338299.000000,0.964042
3,5,768,415103.875000,3410299.000000,0.962403
3,5,768,390103.875000,3450299.000000,0.961458
3,4,376,728103.875000,3408299.000000,0.866977
3,4,376,363103.875000,3502299.000000,0.866923
3,4,376,587103.875000,3379299.000000,0.863143
3,3,150,420103.875000,3494299.000000,0.830402
3,3,150,361103.875000,3468299.000000,0.829132
3,3,150,425103.875000,3490299.000000,0.827112
3,6,8,450103.875000,3450299.000000,0.810822
3,6,8,401103.875000,3449299.000000,0.807702
3,6,8,389103.875000,3402299.000000,0.807020
